Year,Period,Bachelors,Somecoll,Highschool,Lesshs
1992,M01,3.1,5.6,6.8,10.8
1992,M02,3.2,5.6,7,11
1992,M03,2.9,5.7,6.9,11.2
1992,M04,3.2,5.7,6.9,10.8
1992,M05,3.2,5.7,6.9,12.2
1992,M06,3.2,5.8,6.8,11.9
1992,M07,3.1,5.7,6.6,11.9
1992,M08,3,5.6,7.3,11.8
1992,M09,3.2,5.6,6.7,11.7
1992,M10,3.3,5.6,6.6,11.5
1992,M11,3.4,5.5,6.7,11.6
1992,M12,3.3,5.7,6.8,11.3
1993,M01,3.1,5.6,6.6,11.1
1993,M02,3.2,5.5,6.3,11.1
1993,M03,3.2,5.3,6.4,10.9
1993,M04,3.2,5.2,6.3,10.9
1993,M05,3,5.1,6.4,10.8
1993,M06,2.9,5.3,6.4,11.2
1993,M07,2.8,5.2,6.3,10.4
1993,M08,2.6,5.5,6.1,10.5
1993,M09,2.8,5.1,6.2,10.7
1993,M10,2.9,5.1,6.3,10.7
1993,M11,2.9,5,6,10.5
1993,M12,2.8,4.9,5.9,11
1994,M01,2.9,4.8,5.8,10.7
1994,M02,2.8,4.8,6.1,10.4
1994,M03,2.8,4.6,5.8,10.5
1994,M04,2.5,4.7,5.6,10.1
1994,M05,2.5,4.6,5.3,9.3
1994,M06,2.6,4.4,5.4,9.7
1994,M07,2.7,4.3,5.2,9.8
1994,M08,2.5,4.3,5.4,9.8
1994,M09,2.5,4.3,5,9.6
1994,M10,2.4,4.2,4.9,9.7
1994,M11,2.3,4.3,4.8,9.2
1994,M12,2.3,4,4.7,8.5
1995,M01,2.4,4,5,9.2
1995,M02,2.3,3.7,4.7,8.9
1995,M03,2.5,4.1,4.5,8
1995,M04,2.7,4.1,5.1,8.8
1995,M05,2.5,4.2,5,8.7
1995,M06,2.6,4.1,4.7,8.7
1995,M07,2.5,4.1,4.7,9
1995,M08,2.5,4,4.5,9.5
1995,M09,2.4,3.8,4.7,9.1
1995,M10,2.4,3.9,4.5,9.1
1995,M11,2.3,4.1,4.8,9.3
1995,M12,2.4,3.7,4.7,9.2
1996,M01,2.4,3.9,4.9,8.7
1996,M02,2.3,3.8,4.7,8.9
1996,M03,2.2,3.7,4.7,9.2
1996,M04,2.3,3.8,4.8,9.1
1996,M05,2.3,3.8,4.8,9.7
1996,M06,2.2,3.8,4.6,8.6
1996,M07,2.2,3.7,4.7,8.8
1996,M08,2.1,3.7,4.4,8.5
1996,M09,2.2,3.7,4.5,8.2
1996,M10,2.2,3.7,4.6,7.8
1996,M11,2.3,3.7,4.6,8.4
1996,M12,2.3,3.7,4.5,8.3
1997,M01,2.1,3.5,4.5,8.8
1997,M02,2.1,3.5,4.6,8.8
1997,M03,2,3.5,4.4,8.3
1997,M04,2,3.4,4.3,8.4
1997,M05,2.2,3,4.2,8.5
1997,M06,2,3.3,4.3,8.2
1997,M07,2.1,3.1,4.2,7.7
1997,M08,2.1,3.2,4.2,7.6
1997,M09,2.1,3.3,4.1,8
1997,M10,1.9,2.9,4.1,7.8
1997,M11,1.7,3.1,3.8,7.4
1997,M12,1.8,3.3,4,7.5
1998,M01,1.9,3.2,4,7
1998,M02,1.9,3.1,4,7.1
1998,M03,1.8,3.2,4.2,7.1
1998,M04,1.7,2.7,3.9,7.2
1998,M05,1.7,3.2,3.7,7
1998,M06,1.7,2.8,4,7.2
1998,M07,1.7,2.9,4.1,7.2
1998,M08,1.8,2.7,3.9,7.1
1998,M09,1.7,3,4.1,6.9
1998,M10,1.9,3,4,6.9
1998,M11,1.9,2.9,3.9,7.1
1998,M12,1.8,2.9,3.8,6.9
1999,M01,1.8,2.9,3.5,7.1
1999,M02,1.9,3.1,3.5,7.5
1999,M03,1.9,2.9,3.5,6.1
1999,M04,2,3,3.5,6.9
1999,M05,1.9,2.9,3.5,6.8
1999,M06,2,2.4,3.8,6.8
1999,M07,1.8,3,3.6,6.9
1999,M08,1.6,3,3.5,7.1
1999,M09,1.7,2.7,3.7,6.9
1999,M10,1.7,2.7,3.4,6.6
1999,M11,1.7,2.7,3.2,6.4
1999,M12,1.7,2.5,3.5,5.8
2000,M01,1.8,2.6,3.4,6.4
2000,M02,1.6,3,3.4,6
2000,M03,1.7,2.8,3.3,6.6
