GBdate,UNEMPF0,gPCPIXB4,gPCPIXB3,gPCPIXB2,gPCPIXB1,gPCPIXF0,gPCPIXF1
19670329,3.8,,,,,,
19670426,4,,,,,,
19670517,3.9,,,,,,
19670614,3.9,,,,,,
19670717,3.9,,,,,,
19670809,3.9,,,,,,
19670907,3.8,,,,,,
19670927,3.8,,,,,,
19671018,3.8,,,,,,
19671108,4,,,,,,
19671206,4,,,,,,
19680104,3.8,,,,,,
19680131,3.7,,,,,,
19680206,3.7,,,,,,
19680228,3.6,,,,,,
19680327,3.6,,,,,,
19680424,3.5,,,,,,
19680522,3.5,,,,,,
19680612,3.5,,,,,,
19680710,3.8,,,,,,
19680807,3.8,,,,,,
19680904,3.7,,,,,,
19681002,3.9,,,,,,
19681023,3.8,,,,,,
19681120,3.7,,,,,,
19681211,3.5,,,,,,
19690108,3.6,,,,,,
19690129,3.6,,,,,,
19690226,3.5,,,,,,
19690326,3.3,,,,,,
19690423,3.4,,,,,,
19690521,3.5,,,,,,
19690618,3.5,,,,,,
19690709,3.6,,,,,,
19690806,3.7,,,,,,
19690904,3.7,,,,,,
19691001,3.9,,,,,,
19691022,4,,,,,,
19691119,4,,,,,,
19691210,3.7,,,,,,
19700107,4,,,,,,
19700204,4.2,,,,,,
19700304,4.2,,,,,,
19700401,4.4,,,,,,
19700429,4.6,,,,,,
19700520,4.9,,,,,,
19700617,5,,,,,,
19700715,5.1,,,,,,
19700812,5.1,,,,,,
19700909,5.1,,,,,,
19701014,5.6,,,,,,
19701111,5.7,,,,,,
19701209,5.7,,,,,,
19710106,6,,,,,,
19710203,6.1,,,,,,
19710303,6,,,,,,
19710331,6,,,,,,
19710428,6.2,,,,,,
19710602,6.2,,,,,,
19710623,6.2,,,,,,
19710721,6.2,,,,,,
19710820,6.1,,,,,,
19710915,6.1,,,,,,
19711013,5.9,,,,,,
19711110,5.8,,,,,,
19711208,5.9,,,,,,
19720107,5.9,,,,,,
19720209,5.8,,,,,,
19720315,5.8,,,,,,
19720412,5.7,,,,,,
19720517,5.7,,,,,,
19720614,5.8,,,,,,
19720712,5.6,,,,,,
19720809,5.5,,,,,,
19720913,5.5,,,,,,
19721011,5.4,,,,,,
19721115,5.4,,,,,,
19721213,5.3,,,,,,
19730110,5.1,,,,,,
19730207,5,,,,,,
19730314,5,,,,,,
19730411,4.9,,,,,,
19730509,4.9,,,,,,
19730618,5,,,,,,
19730711,4.7,,,,,,
19730815,4.7,,,,,,
19730912,4.7,,,,,,
19731010,4.7,,,,,,
19731114,4.6,,,,,,
19731212,4.7,,,,,,
19740116,5.2,,,,,,
19740213,5.4,,,,,,
19740313,5.3,,,,,,
19740410,5.5,,,,,,
19740515,5.2,,,,,,
19740612,5.2,,,,,,
19740710,5.5,,,,,,
19740814,5.5,,,,,,
19740904,5.5,,,,,,
19741009,6.1,,,,,,
19741113,6.4,,,,,,
19741211,6.5,,,,,,
19750115,7.6,,,,,,
19750212,8.5,,,,,,
19750312,8.4,,,,,,
19750409,9.1,,,,,,
19750514,9.2,,,,,,
19750611,9.2,,,,,,
19750709,9,,,,,,
19750813,8.6,,,,,,
19750910,8.4,,,,,,
19751015,8.1,,,,,,
19751112,8.3,,,,,,
19751210,8.4,,,,,,
19760114,8.2,,,,,,
19760211,7.9,,,,,,
19760310,7.6,,,,,,
19760414,7.3,,,,,,
19760512,7.4,,,,,,
19760616,7.3,,,,,,
19760714,7.3,,,,,,
19760811,7.6,,,,,,
19760915,7.8,,,,,,
19761013,7.5,,,,,,
19761110,7.7,,,,,,
19761215,8,,,,,,
19770112,7.9,,,,,,
19770209,7.7,,,,,,
19770309,7.4,,,,,,
19770415,7.2,,,,,,
19770511,6.9,,,,,,
19770615,6.9,,,,,,
19770713,6.9,,,,,,
19770810,6.8,,,,,,
19770914,7.1,,,,,,
19771012,6.9,,,,,,
19771109,6.9,,,,,,
19771214,6.9,,,,,,
19780111,6.5,,,,,,
19780222,6.3,,,,,,
19780315,6.2,,,,,,
19780412,6,,,,,,
19780510,5.9,,,,,,
19780614,6.1,,,,,,
19780712,5.8,,,,,,
19780809,6,,,,,,
19780913,6,,,,,,
19781011,5.9,,,,,,
19781115,5.9,,,,,,
19781213,5.8,,,,,,
19790131,5.8,,,,,,
19790314,5.7,,,,,,
19790411,5.9,,,,,,
19790516,5.9,,,,,,
19790703,6.3,,,,,,
19790808,6.1,,,,,,
19790912,6,,,,,,
19791012,6.7,,,,,,
19791114,6.3,,,,,,
19800103,6.6,,,,,,
19800130,6.2,,,,,,
19800314,6.1,,,,,,
19800416,6.6,,,,,,
19800514,7.3,,,,,,
19800702,8.6,,,,,,
19800806,8.1,,,,,,
19800910,7.8,,,,,,
19801015,7.6,,,,,,
19801112,7.6,,,,,,
19801212,7.6,,,,,,
19810128,7.5,,,,,,
19810325,7.4,,,,,,
19810513,7.3,,,,,,
19810701,7.7,,,,,,
19810812,7.1,,,,,,
19810930,7.2,,,,,,
19811110,8.3,,,,,,
19811216,8.4,,,,,,
19820127,9.3,,,,,,
19820324,8.8,,,,,,
19820512,9.5,,,,,,
19820623,9.5,,,,,,
19820818,10,,,,,,
19820929,10,,,,,,
19821110,10.6,,,,,,
19821215,10.7,,,,,,
19830202,10.9,,,,,,
19830323,10.4,,,,,,
19830518,10.1,,,,,,
19830706,9.6,,,,,,
19830817,9.3,,,,,,
19830928,9.4,,,,,,
19831109,8.7,,,,,,
19831214,8.5,,,,,,
19840125,8,,,,,,
19840321,7.8,,,,,,
19840516,7.6,,,,,,
19840711,6.9,,,,,,
19840815,7.2,,,,,,
19840926,7.5,,,,,,
19841031,7.3,,,,,,
19841212,7.3,,,,,,
19850206,7.2,,,,,,
19850320,7.3,,,,,,
19850515,7.3,,,,,,
19850703,7.2,,,,,,
19850814,7.3,,,,,,
19850925,7.2,,,,,,
19851030,7.1,,,,,,
19851211,7.1,,,,,,
19860205,6.8,,,3.6,4.8,4.9,4.7
19860326,7,,,3.5,4.9,4.4,4.6
19860514,7.1,,3.5,4.9,4.3,4,4.4
19860702,7.1,3.5,4.9,4.2,3.5,3.8,4.2
19860813,7,3.5,4.9,4.3,3.4,3.5,3.7
19860917,6.9,3.5,4.9,4.3,3.4,3.3,3.4
19861029,7,4.9,4.3,3.4,3.6,3.8,3.7
19861210,7,4.9,4.3,3.4,3.6,4.1,3.7
19870204,6.7,,,3.6,4.1,3.3,3.6
19870325,6.7,,,3.7,3.8,4.1,3.5
19870513,6.4,,3.7,3.8,4.4,4.4,4.4
19870701,6.3,3.7,3.8,4.4,5,4.6,4.6
19870812,6.1,3.7,3.8,4.4,4.7,3.7,4.8
19870916,6,3.7,3.8,4.4,4.7,3.9,4.7
19871028,6.1,3.8,4.4,4.7,3.6,4.1,4.5
19871209,6,3.8,4.4,4.7,3.6,4.5,4.3
19880203,5.9,,,3.6,4.2,4.1,4.7
19880323,5.7,,,3.6,4.2,4.5,4.9
