Series ID,Year,Period,Label,Value
LNS14027689,1992,M01,1992 Jan,5.6
LNS14027689,1992,M02,1992 Feb,5.6
LNS14027689,1992,M03,1992 Mar,5.7
LNS14027689,1992,M04,1992 Apr,5.7
LNS14027689,1992,M05,1992 May,5.7
LNS14027689,1992,M06,1992 Jun,5.8
LNS14027689,1992,M07,1992 Jul,5.7
LNS14027689,1992,M08,1992 Aug,5.6
LNS14027689,1992,M09,1992 Sep,5.6
LNS14027689,1992,M10,1992 Oct,5.6
LNS14027689,1992,M11,1992 Nov,5.5
LNS14027689,1992,M12,1992 Dec,5.7
LNS14027689,1993,M01,1993 Jan,5.6
LNS14027689,1993,M02,1993 Feb,5.5
LNS14027689,1993,M03,1993 Mar,5.3
LNS14027689,1993,M04,1993 Apr,5.2
LNS14027689,1993,M05,1993 May,5.1
LNS14027689,1993,M06,1993 Jun,5.3
LNS14027689,1993,M07,1993 Jul,5.2
LNS14027689,1993,M08,1993 Aug,5.5
LNS14027689,1993,M09,1993 Sep,5.1
LNS14027689,1993,M10,1993 Oct,5.1
LNS14027689,1993,M11,1993 Nov,5.0
LNS14027689,1993,M12,1993 Dec,4.9
LNS14027689,1994,M01,1994 Jan,4.8
LNS14027689,1994,M02,1994 Feb,4.8
LNS14027689,1994,M03,1994 Mar,4.6
LNS14027689,1994,M04,1994 Apr,4.7
LNS14027689,1994,M05,1994 May,4.6
LNS14027689,1994,M06,1994 Jun,4.4
LNS14027689,1994,M07,1994 Jul,4.3
LNS14027689,1994,M08,1994 Aug,4.3
LNS14027689,1994,M09,1994 Sep,4.3
LNS14027689,1994,M10,1994 Oct,4.2
LNS14027689,1994,M11,1994 Nov,4.3
LNS14027689,1994,M12,1994 Dec,4.0
LNS14027689,1995,M01,1995 Jan,4.0
LNS14027689,1995,M02,1995 Feb,3.7
LNS14027689,1995,M03,1995 Mar,4.1
LNS14027689,1995,M04,1995 Apr,4.1
LNS14027689,1995,M05,1995 May,4.2
LNS14027689,1995,M06,1995 Jun,4.1
