MPRdate,Position,INFLCY,UNEMPCY,INFLNY,UNEMPNY
19920709,Boston,3.4,7.4,3.3,7.2
19920709,New York,3.25,7.4,3.25,6.9
19920709,Philadelphia,3.3,7.3,2.9,6.8
19920709,Cleveland,3,7.25,3,7.25
19920709,Richmond,3,7.3,2.7,6.7
19920709,Atlanta,3.3,7.4,3.1,6.9
19920709,Chicago,3.2,7.3,3.2,7.1
19920709,St. Louis,3.38,7,4,6.5
19920709,Minneapolis,3,7.2,3,6.9
19920709,Kansas City,3.4,7.2,3.5,6.6
19920709,Dallas,3,7.3,2.8,6.7
19920709,San Francisco,3.1,7.3,3,6.6
19920709,Mullins,3.4,7.6,2.9,7
19920709,Angell,3,7.5,2.5,7.2
19920709,LaWare,3.5,7,3.2,6.7
19920709,Kelley,3,7.5,3,6.5
19920709,Lindsey,2.9,7.2,2.7,6.7
19920709,Phillips,3,7.25,3,6.75
19930712,Boston  ,3.25,7,3,6.75
19930712,New York ,3.2,6.8,3.2,6.6
19930712,Philadelphia ,3.1,6.8,3.2,6.5
19930712,Cleveland ,3,6.8,2,6.5
19930712,Richmond ,3.2,6.7,3,6.4
19930712,Atlanta ,3.2,6.7,3.4,6.2
19930712,Chicago ,3.1,6.7,3,6.4
19930712,St. Louis ,3.1,6.6,4.25,6.25
19930712,Minneapolis ,3.1,6.7,3.5,6.5
19930712,Kansas City ,3.2,6.8,3.2,6.3
19930712,Dallas ,3.4,6.8,3.7,6.5
19930712,San Francisco ,3.2,6.8,2.9,6.6
19930712,Angell ,3.3,6.7,3.2,6.5
19930712,Kelley ,3.2,6.8,3.2,6.5
19930712,LaWare ,3,6.8,2.8,7
19930712,Lindsey ,3.4,6.7,3.7,6.7
19930712,Mullins ,3.3,6.8,3.5,6.5
19930712,Phillips ,3,6.75,3,6.5
19940711,Boston  ,3,6.1,3,6
19940711,New York  ,2.8,6.3,3,6.5
19940711,Philadelphia,3.1,6.25,3.3,6.25
19940711,Cleveland,2.5,6.25,2,6
19940711,Richmond  ,3,5.9,2.8,5.9
19940711,Atlanta  ,2.8,6.1,3.4,5.9
19940711,Chicago,2.8,6,3,5.9
19940711,St. Louis,3.5,6,4.5,6
19940711,Minneapolis  ,3,6.3,3.5,6.3
19940711,Kansas City  ,3,5.9,3.4,6.2
19940711,Dallas  ,2.8,6,3.2,6.1
19940711,San Francisco  ,2.8,6.2,3.1,6.2
19940711,Blinder  ,2.8,6,3,6
19940711,Kelley  ,2.6,6.2,2.9,5.9
19940711,LaWare  ,3,6.2,3.1,6
19940711,Lindsey  ,2.6,5.9,2.5,5.8
19940711,Phillips  ,2.75,6.25,2.5,6.25
19950713,Boston ,3.25,5.9,3.3,6
19950713,New York ,3.25,6,3.5,5.75
19950713,Philadelphia ,3.2,5.8,3,5.8
19950713,Cleveland ,3,5.5,2.5,5.5
19950713,Richmond ,3.5,5.9,3.3,6
19950713,Atlanta ,3.3,5.8,3.1,5.6
19950713,Chicago ,3.1,6.1,2.9,6.1
19950713,St. Louis ,3.5,5.75,3.5,5.75
19950713,Minneapolis ,3.5,6,3,6
19950713,Kansas City ,3.2,5.9,3.2,6.2
19950713,Dallas ,3.4,6,3.2,6
19950713,San Francisco ,3.3,6.2,2.7,6
19950713,Blinder ,3.2,6.1,2.9,6.1
19950713,Kelley ,3.2,5.9,3.2,5.9
19950713,Lindsey ,3.1,6,3.4,6.2
19950713,Phillips ,3,5.75,2.75,6
19950713,Yellen ,3.2,6.1,3,6.1
19960710,Boston  ,3.2,5.4,3,5.7
19960710,New York  ,3,5.25,3,5.75
19960710,Philadelphia  ,3.2,5.4,2.6,5.6
19960710,Cleveland  ,3,5.5,2.5,5.5
19960710,Richmond  ,3.3,5.4,3.2,5.5
19960710,Atlanta  ,3.1,5.5,3,5.6
19960710,Chicago  ,3,5.4,2.9,5.4
19960710,St. Louis  ,3.25,5.75,3,5.75
19960710,Minneapolis  ,3.2,5.6,3,5.6
19960710,Kansas City  ,3.3,5.6,3.1,5.7
19960710,Dallas  ,3.2,5.6,3.2,5.7
19960710,San Francisco  ,3.1,5.4,3.1,5.5
19960710,Kelley  ,3,5.4,3.1,5.7
19960710,Lindsey,2.9,5.5,2.8,5.9
19960710,Meyer  ,3.1,5.5,2.9,5.7
19960710,Phillips,3,5.5,2.5,5.75
19960710,Rivlin,3.2,5.6,2.8,5.7
19960710,Yellen,3.1,5.5,3.1,5.5
19970708, Boston,2.7,4.8,2.9,5.1
19970708, New York  ,2.25,4.75,3,5
19970708, Philadelphia  ,2.3,4.9,2.6,5
19970708, Cleveland  ,2.5,4.75,2.5,4.75
19970708, Richmond  ,2.5,4.7,2.8,4.7
19970708, Atlanta  ,2.1,4.8,2.9,4.9
19970708, Chicago  ,2.5,4.8,3.1,4.7
19970708, St. Louis  ,2.5,5.13,3,5.25
19970708, Minneapolis  ,2.5,4.8,3.1,4.8
19970708, Kansas City  ,2.2,4.9,2.5,4.9
19970708, Dallas  ,2.5,4.7,2.8,4.7
19970708, San Francisco  ,2.1,4.8,3,4.9
19970708, Kelley  ,2.1,4.8,2.4,5.1
19970708, Meyer  ,2.3,4.7,2.9,4.9
19970708, Phillips  ,2.5,5,2.5,5
19970708, Rivlin  ,2.2,4.7,2.8,4.6
19980701, Boston  ,1.75,4.2,2.5,4.4
19980701, New York  ,2,4.5,3,4.5
19980701, Philadelphia  ,1.2,4.5,2,4.4
19980701, Cleveland  ,2.25,4.55,2,4.55
19980701, Richmond  ,2,4.2,2.6,4.4
19980701, Atlanta  ,1.9,4.5,2.3,4.5
19980701, Chicago  ,2,4.4,2.6,4.3
19980701, St. Louis  ,2,4.3,1.5,4.3
19980701, Minneapolis  ,2,4.4,3,4.6
19980701, Kansas City  ,1.8,4.4,2.1,4.8
19980701, Dallas  ,1.5,4.4,1.5,4.5
19980701, San Francisco  ,1.8,4.4,2.3,4.8
19980701,Ferguson  ,2,4.5,2.5,4.5
19980701,Gramlich  ,1.7,4.5,2.2,4.7
19980701,Meyer  ,1.8,4.4,2.5,4.7
19980701,Rivlin  ,1.9,4.3,2.3,4.5
19990630,Boston,2.3,4.1,2.6,4.4
19990630,New York,2.5,4,2.5,4.25
19990630,Philadelphia,2.3,4,2.3,4.4
19990630,Cleveland,2.5,4.25,2,4.25
19990630,Richmond,2.3,4.2,2.6,4.3
19990630,Atlanta,2.3,4.1,2.6,3.9
19990630,Chicago,2.4,4.2,2.7,4.2
19990630,St. Louis,2.5,4,2.5,4
19990630,Minneapolis,2.5,4.2,2.5,4.2
19990630,Kansas City,2.4,4.1,2.5,4
19990630,Dallas,1.8,4.2,1.6,4.2
19990630,San Francisco,2.2,4.3,2.1,4.4
19990630,Gramlich,2,4.3,2,4.5
19990630,Ferguson,2.3,4.4,2.1,4.6
19990630,Meyer,2.3,4.2,2.5,4.4
19990630,Kelley,2.1,4.2,2.3,4.4
20000628,Boston,2.6,4.1,2.7,4.3
20000628,New York,2.5,4,2.25,4.25
20000628,Philadelphia,2.4,4.1,1.8,4
20000628,Cleveland,2.75,4,2.25,4
20000628,Richmond,2.8,4,2.5,4.1
20000628,Atlanta,2.8,4,2.9,4.1
20000628,Chicago,2.4,3.9,2.1,3.9
20000628,St. Louis,2.5,4,2,4
20000628,Minneapolis,2.5,4,2.5,4
20000628,Kansas City,2.4,4,2,4.1
20000628,Dallas,2.1,4,2,3.9
20000628,San Francisco,2.5,4.1,2,4.2
20000628,Gramlich,2,4,2,4
20000628,Ferguson,2.4,4.1,2,4.3
20000628,Meyer,2.7,4,2.2,4.2
20000628,Kelley,2.7,4.2,2.9,4.4
20010627,Boston,2.5,4.9,2.4,5
20010627,New York,2.5,5,2.25,5.25
20010627,Philadelphia,2.1,4.9,2.1,5.1
20010627,Cleveland,2.5,4.8,2,4.8
20010627,Richmond,2.7,5.1,2.5,5.5
20010627,Atlanta,2.2,4.8,2.4,5.2
20010627,Chicago,2.2,4.8,2,5
20010627,St. Louis,2.75,4.75,3,4.75
20010627,Minneapolis,2.3,4.8,2.3,5.1
20010627,Kansas City,2.1,4.8,2.3,4.7
20010627,Dallas,2,5,1.8,4.8
20010627,San Francisco,2.1,5,1.6,5.5
20010627,Gramlich,2.4,4.8,2.1,4.9
20010627,Ferguson,1.9,5,1.8,5
20010627,Meyer,2.1,5.1,1.8,5.2
20010627,Kelley,2.2,5,1.9,5.3
20020626,Boston,1.3,6,1.1,5.6
20020626,New York,1.75,5.75,1.5,5.5
20020626,Philadelphia,1.7,5.8,1.7,5.4
20020626,Cleveland,1.5,5.75,1,5.5
20020626,Richmond,1.4,6,1.4,5.7
20020626,Atlanta,1.8,5.6,2.3,5.3
20020626,Chicago,1.5,5.75,1.5,5.5
20020626,St. Louis,2,5.75,2,5
20020626,Minneapolis,2,6.1,2,6
20020626,Kansas City,1.2,5.8,1.6,5.1
20020626,Dallas,1.5,5.5,1.5,5.2
20020626,San Francisco,1.6,5.9,1.4,5.6
20020626,Ferguson,1.9,5.7,1.8,5.5
20020626,Gramlich,1.3,6.2,1.3,6
20020626,Olson,1.6,5.9,1.5,5.4
20020626,Bies,1.6,5.9,1.8,5.5
20030625,Boston,1.3,6.1,1,5.8
20030625,New York,1.5,6,1.25,6
20030625,Philadelphia,1.4,6.2,1.2,6
20030625,Cleveland,1.75,6,1.5,5.5
20030625,Richmond,1.2,6.2,1,5.7
20030625,Atlanta,1.3,5.9,1.9,5.5
20030625,Chicago,1.4,6.1,1,5.7
20030625,St. Louis,1.5,6,1.5,6
20030625,Minneapolis,1.8,6.1,1.8,5.8
20030625,Kansas City,1,6.1,1.25,5.8
20030625,Dallas,1.2,6.2,1.2,5.6
20030625,San Francisco,1.4,6.2,1,5.7
20030625,Ferguson,1.3,6.1,0.8,5.4
20030625,Gramlich,1.5,6.3,1.3,6.3
20030625,Olson,1.4,6.1,1,5.8
20030625,Bies,1,6.3,1,5.7
20030625,Bernanke,1.3,6.2,1.1,5.7
20030625,Kohn,1.25,6,1,5.5
20040630,Boston,1.7,5.4,1.4,5.3
20040630,New York,1.75,5.5,1.5,5.5
20040630,Philadelphia,1.5,5.4,1.9,5.25
20040630,Cleveland,1.75,5.25,1.5,5
20040630,Richmond,2,5.4,1.7,5.3
20040630,Atlanta,1.7,5.4,2,5.2
20040630,Chicago,1.9,5.4,1.7,5.1
20040630,St. Louis,2,5.25,2.5,5
20040630,Minneapolis,2,5.5,2.3,5.3
20040630,Kansas City,1.8,5.5,2.1,5.4
20040630,Dallas,2.1,5.3,2.2,4.9
20040630,San Francisco,1.8,5.4,1.5,5.2
20040630,Ferguson,1.7,5.3,1.5,5.2
20040630,Gramlich,1.8,5.4,1.8,5
20040630,Olson,1.7,5.2,1.5,5
20040630,Bies,1.6,5.4,1.8,5.2
20040630,Bernanke,1.8,5.4,1.7,5.2
20040630,Kohn,1.75,5.25,1.75,5
20050630,Boston,2,5.2,1.8,5.1
20050630,New York,2,5,1.75,5
20050630,Philadelphia,2,5.1,2.4,5.1
20050630,Cleveland,2,5,1.75,5
20050630,Richmond,2,5,1.8,5
20050630,Atlanta,1.8,5.1,1.8,5
20050630,Chicago,2,5.1,1.9,5.1
20050630,St. Louis,2,5,2,5
20050630,Minneapolis,1.8,5.1,1.8,5.1
20050630,Kansas City,1.8,5.1,1.9,5
20050630,Dallas,1.6,5.1,1.5,5
20050630,San Francisco,2,5,1.75,5
20050630,Ferguson,2.1,5.1,1.9,5.1
20050630,Olson,2,5.1,1.9,5.1
20050630,Bies,2.2,5.2,2.1,5.1
20050630,Kohn,1.75,5,1.75,5
20060629,Boston,2.4,4.8,2.1,5.1
20060629,New York,2.5,4.75,2,4.75
20060629,Philadelphia,2.2,4.9,2.3,5.1
20060629,Cleveland,2.25,5,2,5
20060629,Richmond,2.3,4.8,1.9,5
20060629,Atlanta,2.4,4.6,2.2,4.7
20060629,Chicago,2.4,4.8,2.3,4.9
20060629,St. Louis,2.5,4.75,2,4.75
20060629,Minneapolis,2.4,4.6,2.1,4.5
20060629,Kansas City,2.4,4.8,2.1,5
20060629,Dallas,2.3,4.4,2,4.3
20060629,San Francisco,2.5,5,2.25,5
20060629,Bernanke,2.5,4.9,2.3,5
20060629,Kohn,2.25,4.75,2,5
20060629,Bies,2.6,5,2,5.3
20060629,Kroszner,2.3,4.8,1.9,5
20060629,Warsh,2.9,4.7,2.3,5
20070628,Boston,2.2,4.6,2.1,4.7
20070628,New York,1.9,4.6,1.8,4.6
20070628,Philadelphia,2.2,4.6,1.7,5
20070628,Cleveland,1.9,4.7,1.8,4.7
20070628,Richmond,2,4.6,1.7,4.7
20070628,Atlanta,2.2,4.6,2.1,4.7
20070628,Chicago,2.1,4.7,2,4.8
20070628,St. Louis,2,4.75,1.75,4.75
20070628,Minneapolis,2.1,4.7,2,4.7
20070628,Kansas City,1.9,4.7,1.8,4.8
20070628,Dallas,2.2,4.6,2,4.5
20070628,San Francisco,2,4.6,1.9,4.9
20070628,Bernanke,2,4.7,1.9,4.8
20070628,Kohn,2,4.8,2,4.8
20070628,Kroszner,2.1,4.7,2,4.8
20070628,Mishkin,2,4.7,2,4.8
20070628,Warsh,2.2,4.6,2.1,4.6
