Table 32: Expected Change in Prices During the Next Year
Month,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard Deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
1,1978,2,13,8,11,15,17,10,3,21,0,6.1,31,5.6,3,5.2,7.8,4.8,
2,1978,1,11,6,9,14,16,11,10,19,3,8.5,72,8.5,4.1,6.4,10,5.9,
3,1978,0,11,7,11,10,19,14,5,21,2,7.5,51,7.2,3.3,6.3,9.7,6.3,
4,1978,1,6,6,7,12,26,12,5,23,2,8,56,7.5,4.7,6.7,9.5,4.8,
5,1978,2,11,6,12,10,16,16,10,15,2,8.9,92,9.6,3.3,6.9,10.1,6.8,
6,1978,3,10,5,10,12,20,14,8,17,1,8,63,7.9,3.8,6.5,9.8,6.1,
7,1978,3,9,7,8,14,17,18,6,17,1,7.6,53,7.3,3.5,6.6,9.9,6.4,
8,1978,2,11,4,8,10,13,21,15,14,2,10.5,102,10.1,4.7,8.7,11.7,7,
9,1978,1,12,5,8,10,21,14,9,18,2,8.5,68,8.3,4.6,6.9,10,5.4,
10,1978,1,9,5,6,10,24,20,5,19,1,7.9,37,6.1,4.9,7.4,10,5.1,
11,1978,1,11,3,7,11,18,19,10,18,2,9.6,83,9.1,4.9,7.5,10.3,5.4,
12,1978,2,5,3,8,12,19,20,5,23,3,8.3,50,7.1,4.8,7.3,10,5.2,
1,1979,1,7,4,5,10,25,19,9,19,1,9.7,84,9.2,5.2,7.8,10.3,5.1,
2,1979,2,9,2,7,9,18,22,16,13,2,11.4,117,10.8,5.2,9.3,12.6,7.4,
3,1979,1,3,5,10,8,18,24,12,18,1,10,76,8.7,4.9,8.8,11.3,6.4,
4,1979,1,5,4,6,11,14,26,17,15,1,11.1,84,9.2,5.2,9.7,12.9,7.7,
5,1979,1,7,3,6,9,15,25,19,13,2,12,109,10.5,5.4,9.8,13.3,7.9,
6,1979,1,9,3,6,8,14,26,21,10,2,12,111,10.5,5.5,9.9,14.6,9.1,
7,1979,3,9,2,6,10,12,25,20,11,2,11.5,95,9.8,5.3,9.9,14.6,9.3,
8,1979,2,11,2,6,9,12,28,19,10,1,11.2,88,9.4,5.2,9.9,13.3,8.1,
9,1979,3,9,5,5,8,15,27,14,13,1,10.4,87,9.3,5,9.6,12.5,7.4,
10,1979,3,10,4,6,10,14,25,11,16,1,9.5,68,8.3,4.9,9,11.6,6.7,
11,1979,2,9,2,5,7,13,29,19,13,1,11.9,106,10.3,6.2,10,13.5,7.3,
12,1979,2,12,3,4,7,13,28,19,9,3,11.7,100,10,5.5,9.9,13.5,8,
1,1980,1,8,2,4,7,12,28,25,11,2,13.8,131,11.5,6.8,10.4,15.6,8.8,
2,1980,1,7,4,4,11,12,31,19,10,1,11.2,80,8.9,5.4,10,13.4,8,
3,1980,3,10,3,4,8,9,26,27,7,3,12.7,122,11,5.5,10.2,15.5,10,
4,1980,5,15,2,3,7,8,24,25,9,2,12,133,11.5,5.2,10.1,15.2,10,
5,1980,7,24,1,4,9,9,17,18,10,1,9.5,105,10.2,3.5,8.6,13.4,9.8,
6,1980,8,19,3,6,7,10,20,14,10,3,9,99,9.9,3.1,8.5,12.6,9.5,
7,1980,5,17,3,5,7,10,21,15,14,3,10,103,10.2,4.6,9.6,12.8,8.2,
8,1980,3,15,6,7,11,12,24,10,11,1,8.8,76,8.7,3.5,7.6,11.1,7.7,
9,1980,3,14,5,5,11,10,23,13,13,3,9.3,66,8.1,4.7,9.1,12,7.3,
10,1980,5,15,3,6,10,10,24,16,9,2,10,107,10.3,4.6,9.6,12.7,8.1,
11,1980,4,21,3,5,8,12,20,14,11,2,9.8,113,10.6,4.5,8.6,12.5,8,
12,1980,4,13,3,5,9,11,25,18,10,2,10.9,110,10.5,4.9,9.7,13.2,8.2,
1,1981,3,18,3,6,7,12,28,9,11,3,8.6,56,7.5,4.7,9.5,11.3,6.6,
2,1981,3,15,5,9,9,12,23,12,10,2,9.1,76,8.7,3.5,8.6,11.9,8.5,
3,1981,5,21,2,8,11,11,20,9,11,2,7.9,62,7.9,3.3,7.2,10.3,7.1,
4,1981,5,22,4,7,9,9,20,14,8,2,9.3,108,10.4,3,8,11.8,8.8,
5,1981,5,20,2,8,10,13,22,11,7,2,8.6,88,9.4,3.4,7.3,10.5,7.1,
6,1981,4,27,4,7,9,12,22,10,4,1,7.8,60,7.8,2.6,7.1,10.3,7.6,
7,1981,6,25,2,7,10,15,18,10,7,0,7.7,82,9.1,2.9,6.8,10.2,7.3,
8,1981,4,24,6,7,12,12,16,11,5,3,7.7,65,8.1,2.5,5.8,10.3,7.8,
9,1981,3,27,5,8,10,11,17,13,5,1,8.7,105,10.2,2.8,6.9,10.4,7.7,
10,1981,4,23,5,7,12,14,17,12,5,1,8.3,73,8.6,3.2,6.7,10.3,7.1,
11,1981,5,22,4,6,11,11,22,11,6,2,8.8,92,9.6,3.2,7.3,10.4,7.2,
12,1981,8,27,4,8,12,14,14,8,3,2,6.5,69,8.3,1.6,5.3,9.8,8.2,
1,1982,5,31,5,8,13,11,13,8,4,2,6.4,60,7.7,1.5,5.1,9.7,8.2,
2,1982,5,33,4,7,12,12,14,7,5,1,6.4,57,7.6,1.3,5.2,9.8,8.5,
3,1982,10,22,7,11,11,12,12,11,2,2,5.8,93,9.6,0.2,4.2,8.8,8.7,
4,1982,11,22,4,7,16,10,16,8,3,3,5.1,61,7.8,0.1,4.7,9.6,9.4,
5,1982,9,27,6,9,15,11,8,8,4,3,4.8,65,8.1,0.1,3.5,6.9,6.8,
6,1982,7,23,7,10,14,10,16,8,3,2,5.8,77,8.8,0.3,4.6,9.5,9.3,
7,1982,4,19,7,10,17,15,14,7,5,2,5.9,56,7.5,0.8,5,8.6,7.7,
8,1982,4,19,8,12,16,12,13,11,3,2,6.3,69,8.3,0.8,4.8,9.6,8.7,
9,1982,5,26,7,9,14,13,12,7,5,2,5.3,63,7.9,0.2,4.5,7.4,7.2,
10,1982,9,22,5,8,14,11,15,9,5,2,5.9,93,9.6,0.2,4.7,9.6,9.4,
11,1982,8,24,5,10,15,11,12,9,3,3,5.2,62,7.8,0.2,4.5,7.8,7.6,
12,1982,10,23,6,13,15,9,11,8,3,2,4.8,64,8,0.1,3.7,7.3,7.1,
1,1983,6,29,10,11,16,7,9,7,3,2,4.7,72,8.5,0.1,2.8,5.5,5.3,
2,1983,9,27,8,12,15,9,8,7,3,2,4.5,66,8.1,0.1,3,5.9,5.8,
3,1983,9,35,9,12,14,5,8,4,3,1,3.1,39,6.3,0,1.8,5.1,5.1,
4,1983,5,25,10,13,17,10,9,5,4,2,4.5,48,7,0.3,3.4,6.5,6.2,
5,1983,5,27,8,13,17,10,10,5,4,1,4.5,53,7.3,0.2,3.2,6.5,6.3,
6,1983,6,27,8,15,16,9,9,6,3,1,4.6,59,7.7,0.2,3.2,6.1,5.9,
7,1983,3,26,12,15,15,9,9,6,3,2,4.5,46,6.8,0.3,3.2,5.9,5.6,
8,1983,2,21,14,16,16,9,9,6,5,2,5,49,7,0.7,3.3,5.9,5.2,
9,1983,3,25,13,14,16,7,10,7,4,1,5,54,7.3,0.4,3.3,6.2,5.8,
10,1983,2,22,12,15,15,10,11,8,4,1,5.2,37,6.1,0.7,3.7,7,6.4,
11,1983,5,20,12,14,16,9,11,6,5,2,5.1,58,7.6,0.5,3.5,6.6,6.1,
12,1983,5,18,12,15,17,8,11,5,7,2,4.9,48,7,0.6,3.5,6.6,6,
1,1984,2,23,13,20,13,9,10,4,4,2,4.6,42,6.5,0.5,3.2,5.5,5.1,
2,1984,2,21,14,19,19,6,8,6,4,1,5.1,54,7.3,0.8,3.3,5.4,4.5,
3,1984,3,21,14,16,15,10,11,5,4,1,5,58,7.6,0.6,3.4,6.5,5.9,
4,1984,2,18,13,17,15,10,11,8,4,2,5.8,57,7.6,1.1,3.9,7.1,6,
5,1984,2,17,15,15,20,11,9,6,4,1,5.3,51,7.2,1.1,4.2,6.7,5.6,
6,1984,2,17,14,16,18,11,13,4,4,1,4.8,28,5.3,1.3,4.2,6.8,5.5,
7,1984,3,20,13,17,20,8,8,5,3,3,4.5,34,5.8,0.6,3.4,5.4,4.7,
8,1984,3,21,18,15,18,6,8,5,5,1,4.5,49,7,0.5,3,5.3,4.7,
